"candidate_name","division","V1","election_year"
"H. Ross Perot","East North Central",-1.95964687900393,1996
"Bill Clinton","East South Central",0.249705721555864,1996
"Bob Dole","East South Central",0.165778521825498,1996
"H. Ross Perot","East South Central",-2.08863842833176,1996
"Bill Clinton","Middle Atlantic",0.779716187904251,1996
"Bob Dole","Middle Atlantic",-0.347825534320597,1996
"H. Ross Perot","Middle Atlantic",-1.86166971068224,1996
"Bill Clinton","Mountain",0.156339605817982,1996
"Bob Dole","Mountain",0.234761736301594,1996
"H. Ross Perot","Mountain",-2.10059116486143,1996
"Bill Clinton","New England",1.07106940475113,1996
"Bob Dole","New England",-0.449001990291828,1996
"H. Ross Perot","New England",-2.11971195067455,1996
"Bill Clinton","Pacific",0.63760836841864,1996
"Bob Dole","Pacific",-0.220092129146618,1996
"H. Ross Perot","Pacific",-2.1898925875167,1996
"Bill Clinton","South Atlantic",0.640585981651213,1996
"Bob Dole","South Atlantic",0.0210840568764536,1996
"H. Ross Perot","South Atlantic",-2.26497371042761,1996
"Bill Clinton","West North Central",0.349984778422805,1996
"Bob Dole","West North Central",0.0477524379242274,1996
"H. Ross Perot","West North Central",-2.08578749795473,1996
"Bill Clinton","West South Central",0.354448727054162,1996
"Bob Dole","West South Central",0.154502642782968,1996
"H. Ross Perot","West South Central",-2.15071943092042,1996
"Bill Clinton","East North Central",-0.16198455467912,1992
"George Bush","East North Central",-0.0226059128579214,1992
"H. Ross Perot","East North Central",-1.22916399282358,1992
"Bill Clinton","East South Central",-0.180678343897861,1992
"George Bush","East South Central",0.43206507358475,1992
"H. Ross Perot","East South Central",-1.62510446524601,1992
"Bill Clinton","Middle Atlantic",-0.188613052650768,1992
"George Bush","Middle Atlantic",-0.101475477607908,1992
"H. Ross Perot","Middle Atlantic",-1.24074240668389,1992
"Bill Clinton","Mountain",-0.590493984205868,1992
"George Bush","Mountain",-0.227280243032845,1992
"H. Ross Perot","Mountain",-0.801405015065916,1992
"Bill Clinton","New England",-0.26053580232819,1992
"George Bush","New England",-0.436349764870606,1992
"H. Ross Perot","New England",-1.03241080341826,1992
"Bill Clinton","Pacific",-0.400810792055658,1992
"George Bush","Pacific",-0.296156287841552,1992
"H. Ross Perot","Pacific",-0.58398929411055,1992
"Bill Clinton","South Atlantic",-0.301134935861288,1992
"George Bush","South Atlantic",0.0957121791722539,1992
